contrast,timepoint,estimate,SE,df,t.ratio,p.value
CC - CP,3,0.012242855111963118,0.018355618579922628,313.02094181308865,0.6669813419066329,0.9094460420723347
CC - EP,3,-0.0283279959135243,0.018355618579922607,313.02094181308865,-1.5432874566542523,0.412913508470807
EE - CP,3,0.002143352644567954,0.018355618579922753,313.0209418130392,0.1167682056170168,0.9994297348906886
EE - EP,3,-0.03842749838091946,0.018355618579922725,313.02094181304625,-2.0935005929438546,0.15745714882291062
CP - EP,3,-0.040570851025487416,0.01835561857992273,313.02094181304625,-2.2102687985608713,0.1226694590972045
CC - EE,4,0.01317123090062454,0.01835561857992263,313.02094181308865,0.7175585417225452,0.8900770108928535
CC - CP,4,0.010386828965030579,0.018355618579922628,313.02094181308865,0.565866463165218,0.94211766323876
CC - EP,4,-0.04185422205283755,0.018355618579922604,313.02094181308865,-2.2801858662838934,0.10486646877976324
EE - CP,4,-0.0027844019355939605,0.01835561857992275,313.02094181303215,-0.15169207855732633,0.9987541880072104
EE - EP,4,-0.05502545295346208,0.01835561857992272,313.02094181304625,-2.99774440800642,0.015485710688925236
CP - EP,4,-0.05224105101786812,0.018355618579922732,313.02094181304625,-2.846052329449092,0.024263410204808822
CC - EE,5,0.014788200265562594,0.018355618579922628,313.02094181308865,0.8056497906171315,0.851758334427112
CC - CP,5,0.006575002046787239,0.018355618579922628,313.02094181308865,0.3582010607901264,0.9842332733161427
CC - EP,5,-0.0484405629222551,0.0183556185799226,313.02094181309576,-2.6390046574207773,0.04311616461515322
EE - CP,5,-0.008213198218775353,0.01835561857992275,313.0209418130392,-0.44744872982700207,0.9700820440390986
EE - EP,5,-0.06322876318781769,0.018355618579922725,313.02094181304625,-3.4446544480378862,0.0036158369629225584
CP - EP,5,-0.055015564969042335,0.01835561857992273,313.02094181304625,-2.9972057182108833,0.01551105983323564
CC - EE,6,0.011604008303791746,0.018355618579922628,313.02094181308865,0.6321774585403626,0.9216111797136876
CC - CP,6,7.729102117186995e-4,0.018355618579922624,313.02094181308865,0.042107554608053835,0.9999731383859605
CC - EP,6,-0.05249618366755404,0.018355618579922597,313.02094181308865,-2.859951760218773,0.023307897322395577
EE - CP,6,-0.010831098092073046,0.018355618579922746,313.0209418130392,-0.590069903932305,0.9350403479567437
EE - EP,6,-0.06410019197134578,0.018355618579922725,313.02094181304625,-3.492129218759112,0.0030636461787366676
CP - EP,6,-0.05326909387927274,0.018355618579922725,313.02094181304625,-2.9020593148268063,0.020612110309396026
CC - EE,7,0.00638843136199669,0.018355618579922624,313.02094181309576,0.3480368332007267,0.9854987831924389
CC - CP,7,-0.006038026982363791,0.018355618579922624,313.02094181309576,-0.3289470717684331,0.9876969928805688
CC - EP,7,-0.05930808014692467,0.018355618579922597,313.02094181308865,-3.231058647720864,0.00742311661873829
EE - CP,7,-0.012426458344360482,0.01835561857992275,313.0209418130392,-0.6769839049691552,0.9057730984250513
EE - EP,7,-0.06569651150892136,0.018355618579922725,313.02094181304625,-3.5790954809215663,0.0022492766317365742
CP - EP,7,-0.05327005316456088,0.01835561857992272,313.02094181304625,-2.9021115759524103,0.020608943109262645
CC - EE,8,0.006580531031574645,0.018355618579922624,313.02094181308865,0.35850227563414455,0.9841947425419635
CC - CP,8,-0.008200471698994218,0.018355618579922628,313.02094181309576,-0.4467553988054585,0.9702140311212555
CC - EP,8,-0.062081221541931644,0.018355618579922607,313.02094181309576,-3.3821372606770193,0.004483154294230962
EE - CP,8,-0.014781002730568864,0.018355618579922746,313.0209418130392,-0.8052576744395978,0.8519412026775115
EE - EP,8,-0.06866175257350629,0.018355618579922725,313.02094181304625,-3.74063953631114,0.0012438845256275144
CP - EP,8,-0.05388074984293743,0.018355618579922725,313.02094181304625,-2.9353818618715413,0.018677823795734905
