plate_ID,plate_rep,temperature,plate_well,is_blank,area_mm2.measurement,imageJ_ID,fieldrep_ID,treatment_group,sample_id_group,exclude_from_analysis,exclude_reason
APC-EP1-26,EP1,26,C5,FALSE,44.793,9,B,EP,EPB9,,
APC-EP1-26,EP1,26,C6,TRUE,,,,EP,EP,,
APC-EP1-26,EP1,26,D1,TRUE,,,,EP,EP,,
APC-EP1-26,EP1,26,D2,FALSE,44.161,16,B,EP,EPB16,,
APC-EP1-26,EP1,26,D3,FALSE,47.71,15,B,EP,EPB15,,
APC-EP1-26,EP1,26,D4,FALSE,36.655,13,B,EP,EPB13,,
APC-EP1-26,EP1,26,D5,FALSE,41.54,14,B,EP,EPB14,,
APC-EP1-26,EP1,26,D6,TRUE,,,,EP,EP,,
APC-EP2-26,EP2,26,A1,TRUE,,,,EP,EP,,
APC-EP2-26,EP2,26,A2,FALSE,47.684,3,B,EP,EPB3,,
APC-EP2-26,EP2,26,A3,FALSE,44.837,5,B,EP,EPB5,,
APC-EP2-26,EP2,26,A4,FALSE,13.775,6,C,EP,EPC6,,
APC-EP2-26,EP2,26,A5,FALSE,31.709,4,C,EP,EPC4,1,DOA
APC-EP2-26,EP2,26,A6,TRUE,,,,EP,EP,,
APC-EP2-26,EP2,26,B1,TRUE,,,,EP,EP,,
APC-EP2-26,EP2,26,B2,FALSE,40.769,10,C,EP,EPC10,1,DOA
APC-EP2-26,EP2,26,B3,FALSE,32.504,7,C,EP,EPC7,,
APC-EP2-26,EP2,26,B4,FALSE,26.329,9,C,EP,EPC9,1,DOA
APC-EP2-26,EP2,26,B5,FALSE,45.687,8,C,EP,EPC8,,
APC-EP2-26,EP2,26,B6,TRUE,,,,EP,EP,,
APC-EP2-26,EP2,26,C1,TRUE,,,,EP,EP,,
APC-EP2-26,EP2,26,C2,FALSE,45.734,12,C,EP,EPC12,,
APC-EP2-26,EP2,26,C3,FALSE,49.801,13,D,EP,EPD13,,
APC-EP2-26,EP2,26,C4,FALSE,42.054,15,D,EP,EPD15,1,DOA
APC-EP2-26,EP2,26,C5,FALSE,27.716,14,D,EP,EPD14,1,DOA
APC-EP2-26,EP2,26,C6,TRUE,,,,EP,EP,,
APC-EP2-26,EP2,26,D1,TRUE,,,,EP,EP,,
APC-EP2-26,EP2,26,D2,FALSE,50.522,16,D,EP,EPD16,1,DOA
APC-EP2-26,EP2,26,D3,FALSE,53.73,18,D,EP,EPD18,,
APC-EP2-26,EP2,26,D4,FALSE,22.058,17,D,EP,EPD17,,
APC-EP2-26,EP2,26,D5,FALSE,57.252,19,D,EP,EPD19,,
APC-EP2-26,EP2,26,D6,TRUE,,,,EP,EP,,
APC-CC1-11,CC1,11,A1,TRUE,,,,CC,CC,,
APC-CC1-11,CC1,11,A2,FALSE,26.815,4,A,CC,CCA4,1,DOA
APC-CC1-11,CC1,11,A3,FALSE,57.513,3,A,CC,CCA3,,
APC-CC1-11,CC1,11,A4,FALSE,30.943,2,A,CC,CCA2,1,DOA
APC-CC1-11,CC1,11,A5,FALSE,51.399,1,A,CC,CCA1,,
APC-CC1-11,CC1,11,A6,TRUE,,,,CC,CC,,
APC-CC1-11,CC1,11,B1,TRUE,,,,CC,CC,,
APC-CC1-11,CC1,11,B2,FALSE,40.552,8,A,CC,CCA8,1,DOA
APC-CC1-11,CC1,11,B3,FALSE,102.812,6,A,CC,CCA6,,
APC-CC1-11,CC1,11,B4,FALSE,61.176,7,A,CC,CCA7,1,DOA
APC-CC1-11,CC1,11,B5,FALSE,107.249,5,A,CC,CCA5,,
APC-CC1-11,CC1,11,B6,TRUE,,,,CC,CC,,
APC-CC1-11,CC1,11,C1,TRUE,,,,CC,CC,,
APC-CC1-11,CC1,11,C2,FALSE,69.315,12,B,CC,CCB12,,
APC-CC1-11,CC1,11,C3,FALSE,37.353,11,B,CC,CCB11,,
APC-CC1-11,CC1,11,C4,FALSE,20.508,9,A,CC,CCA9,,
APC-CC1-11,CC1,11,C5,FALSE,67.355,10,A,CC,CCA10,,
APC-CC1-11,CC1,11,C6,TRUE,,,,CC,CC,,
APC-CC1-11,CC1,11,D1,TRUE,,,,CC,CC,,
APC-CC1-11,CC1,11,D2,FALSE,28.66,16,B,CC,CCB16,,
APC-CC1-11,CC1,11,D3,FALSE,66.839,15,B,CC,CCB15,,
APC-CC1-11,CC1,11,D4,FALSE,67.6,14,B,CC,CCB14,,
APC-CC1-11,CC1,11,D5,FALSE,54.482,13,B,CC,CCB13,,
APC-CC1-11,CC1,11,D6,TRUE,,,,CC,CC,,
APC-CC2-11,CC2,11,A1,TRUE,,,,CC,CC,,
APC-CC2-11,CC2,11,A2,FALSE,76.91,4,C,CC,CCC4,,
APC-CC2-11,CC2,11,A3,FALSE,99.158,3,C,CC,CCC3,,
APC-CC2-11,CC2,11,A4,FALSE,59.553,2,C,CC,CCC2,,
APC-CC2-11,CC2,11,A5,FALSE,76.594,1,C,CC,CCC1,,
APC-CC2-11,CC2,11,A6,TRUE,,,,CC,CC,,
