row_id,col_id,well_id,value,plate_id,base_plate_id,temp_c,t_index,wall_sec,t0_wall_sec,time_hr,is_blank,treatment,rep_group,imagej_label,area_mm2,sample_id,value_t0,fold_change,mean_blank_fc,corrected_fc,metabolism
C,4,C4,490,APC-CC1-26,APC-CC1,26,2,1787231145,1787227520,1.0069444444444444,FALSE,CC,A,9,20.508,APC-CC1_C4,389,1.2596401028277635,1.0259195516457602,0.2337205511820033,0.011396555060561893
C,5,C5,402,APC-CC1-26,APC-CC1,26,2,1787231145,1787227520,1.0069444444444444,FALSE,CC,A,10,67.355,APC-CC1_C5,314,1.2802547770700636,1.0259195516457602,0.2543352254243034,0.003776040760512262
D,2,D2,427,APC-CC1-26,APC-CC1,26,2,1787231145,1787227520,1.0069444444444444,FALSE,CC,B,16,28.66,APC-CC1_D2,355,1.2028169014084507,1.0259195516457602,0.17689734976269045,0.006172273194790316
D,3,D3,1012,APC-CC1-26,APC-CC1,26,2,1787231145,1787227520,1.0069444444444444,FALSE,CC,B,15,66.839,APC-CC1_D3,734,1.3787465940054495,1.0259195516457602,0.3528270423596893,0.005278760040690156
D,4,D4,833,APC-CC1-26,APC-CC1,26,2,1787231145,1787227520,1.0069444444444444,FALSE,CC,B,14,67.6,APC-CC1_D4,619,1.345718901453958,1.0259195516457602,0.3197993498081977,0.004730759612547304
D,5,D5,342,APC-CC1-26,APC-CC1,26,2,1787231145,1787227520,1.0069444444444444,FALSE,CC,B,13,54.482,APC-CC1_D5,275,1.2436363636363637,1.0259195516457602,0.21771681199060344,0.003996123710410841
A,2,A2,2022,APC-CC1-26,APC-CC1,26,3,1787233164,1787227520,1.5677777777777777,FALSE,CC,A,4,26.815,APC-CC1_A2,1391,1.453630481667865,1.0401869142178466,0.4134435674500183,0.015418369101249984
A,3,A3,1071,APC-CC1-26,APC-CC1,26,3,1787233164,1787227520,1.5677777777777777,FALSE,CC,A,3,57.513,APC-CC1_A3,642,1.6682242990654206,1.0401869142178466,0.628037384847574,0.010919920450116912
A,4,A4,1985,APC-CC1-26,APC-CC1,26,3,1787233164,1787227520,1.5677777777777777,FALSE,CC,A,2,30.943,APC-CC1_A4,1416,1.4018361581920904,1.0401869142178466,0.3616492439742438,0.011687594737880742
A,5,A5,1482,APC-CC1-26,APC-CC1,26,3,1787233164,1787227520,1.5677777777777777,FALSE,CC,A,1,51.399,APC-CC1_A5,1104,1.3423913043478262,1.0401869142178466,0.30220439012997957,0.005879577231657806
B,2,B2,2106,APC-CC1-26,APC-CC1,26,3,1787233164,1787227520,1.5677777777777777,FALSE,CC,A,8,40.552,APC-CC1_B2,1311,1.6064073226544622,1.0401869142178466,0.5662204084366156,0.0139628232500645
B,3,B3,1039,APC-CC1-26,APC-CC1,26,3,1787233164,1787227520,1.5677777777777777,FALSE,CC,A,6,102.812,APC-CC1_B3,697,1.490674318507891,1.0401869142178466,0.4504874042900444,0.004381661715461662
B,4,B4,881,APC-CC1-26,APC-CC1,26,3,1787233164,1787227520,1.5677777777777777,FALSE,CC,A,7,61.176,APC-CC1_B4,595,1.480672268907563,1.0401869142178466,0.4404853546897165,0.007200296761633917
B,5,B5,1904,APC-CC1-26,APC-CC1,26,3,1787233164,1787227520,1.5677777777777777,FALSE,CC,A,5,107.249,APC-CC1_B5,1391,1.3687994248741913,1.0401869142178466,0.32861251065634467,0.0030640146822473375
C,2,C2,1105,APC-CC1-26,APC-CC1,26,3,1787233164,1787227520,1.5677777777777777,FALSE,CC,B,12,69.315,APC-CC1_C2,723,1.5283540802213,1.0401869142178466,0.48816716600345345,0.007042734848206787
C,3,C3,764,APC-CC1-26,APC-CC1,26,3,1787233164,1787227520,1.5677777777777777,FALSE,CC,B,11,37.353,APC-CC1_C3,520,1.4692307692307693,1.0401869142178466,0.42904385501292275,0.011486195352794226
C,4,C4,558,APC-CC1-26,APC-CC1,26,3,1787233164,1787227520,1.5677777777777777,FALSE,CC,A,9,20.508,APC-CC1_C4,389,1.4344473007712082,1.0401869142178466,0.3942603865533616,0.01922471165171453
C,5,C5,450,APC-CC1-26,APC-CC1,26,3,1787233164,1787227520,1.5677777777777777,FALSE,CC,A,10,67.355,APC-CC1_C5,314,1.4331210191082802,1.0401869142178466,0.39293410489043357,0.005833777817391931
D,2,D2,490,APC-CC1-26,APC-CC1,26,3,1787233164,1787227520,1.5677777777777777,FALSE,CC,B,16,28.66,APC-CC1_D2,355,1.380281690140845,1.0401869142178466,0.3400947759229984,0.01186653091147936
D,3,D3,1128,APC-CC1-26,APC-CC1,26,3,1787233164,1787227520,1.5677777777777777,FALSE,CC,B,15,66.839,APC-CC1_D3,734,1.5367847411444142,1.0401869142178466,0.4965978269265676,0.007429761470497279
D,4,D4,962,APC-CC1-26,APC-CC1,26,3,1787233164,1787227520,1.5677777777777777,FALSE,CC,B,14,67.6,APC-CC1_D4,619,1.554119547657512,1.0401869142178466,0.5139326334396654,0.007602553749107477
D,5,D5,394,APC-CC1-26,APC-CC1,26,3,1787233164,1787227520,1.5677777777777777,FALSE,CC,B,13,54.482,APC-CC1_D5,275,1.4327272727272726,1.0401869142178466,0.39254035850942604,0.007204955003660403
A,2,A2,2212,APC-CC1-26,APC-CC1,26,4,1787234928,1787227520,2.057777777777778,FALSE,CC,A,4,26.815,APC-CC1_A2,1391,1.5902228612508986,1.0448234301280968,0.5453994311228019,0.020339341082334584
A,3,A3,1171,APC-CC1-26,APC-CC1,26,4,1787234928,1787227520,2.057777777777778,FALSE,CC,A,3,57.513,APC-CC1_A3,642,1.82398753894081,1.0448234301280968,0.7791641088127133,0.013547617213720607
A,4,A4,2202,APC-CC1-26,APC-CC1,26,4,1787234928,1787227520,2.057777777777778,FALSE,CC,A,2,30.943,APC-CC1_A4,1416,1.555084745762712,1.0448234301280968,0.5102613156346152,0.016490363430650395
A,5,A5,1641,APC-CC1-26,APC-CC1,26,4,1787234928,1787227520,2.057777777777778,FALSE,CC,A,1,51.399,APC-CC1_A5,1104,1.486413043478261,1.0448234301280968,0.4415896133501642,0.008591404761768989
B,2,B2,2238,APC-CC1-26,APC-CC1,26,4,1787234928,1787227520,2.057777777777778,FALSE,CC,A,8,40.552,APC-CC1_B2,1311,1.7070938215102975,1.0448234301280968,0.6622703913822008,0.016331386648801557
B,3,B3,1173,APC-CC1-26,APC-CC1,26,4,1787234928,1787227520,2.057777777777778,FALSE,CC,A,6,102.812,APC-CC1_B3,697,1.6829268292682926,1.0448234301280968,0.6381033991401959,0.006206507014163676
B,4,B4,956,APC-CC1-26,APC-CC1,26,4,1787234928,1787227520,2.057777777777778,FALSE,CC,A,7,61.176,APC-CC1_B4,595,1.6067226890756303,1.0448234301280968,0.5618992589475336,0.00918496238635304
B,5,B5,2103,APC-CC1-26,APC-CC1,26,4,1787234928,1787227520,2.057777777777778,FALSE,CC,A,5,107.249,APC-CC1_B5,1391,1.511861969805895,1.0448234301280968,0.4670385396777983,0.004354712302005598
C,2,C2,1123,APC-CC1-26,APC-CC1,26,4,1787234928,1787227520,2.057777777777778,FALSE,CC,B,12,69.315,APC-CC1_C2,723,1.5532503457814661,1.0448234301280968,0.5084269156533694,0.007335020062805589
C,3,C3,822,APC-CC1-26,APC-CC1,26,4,1787234928,1787227520,2.057777777777778,FALSE,CC,B,11,37.353,APC-CC1_C3,520,1.5807692307692307,1.0448234301280968,0.535945800641134,0.014348132697270205
C,4,C4,613,APC-CC1-26,APC-CC1,26,4,1787234928,1787227520,2.057777777777778,FALSE,CC,A,9,20.508,APC-CC1_C4,389,1.575835475578406,1.0448234301280968,0.5310120454503093,0.02589292205238489
C,5,C5,490,APC-CC1-26,APC-CC1,26,4,1787234928,1787227520,2.057777777777778,FALSE,CC,A,10,67.355,APC-CC1_C5,314,1.5605095541401275,1.0448234301280968,0.5156861240120307,0.007656241170099187
D,2,D2,528,APC-CC1-26,APC-CC1,26,4,1787234928,1787227520,2.057777777777778,FALSE,CC,B,16,28.66,APC-CC1_D2,355,1.4873239436619718,1.0448234301280968,0.4425005135338751,0.015439655043052166
D,3,D3,1284,APC-CC1-26,APC-CC1,26,4,1787234928,1787227520,2.057777777777778,FALSE,CC,B,15,66.839,APC-CC1_D3,734,1.7493188010899183,1.0448234301280968,0.7044953709618216,0.010540184188300567
D,4,D4,1061,APC-CC1-26,APC-CC1,26,4,1787234928,1787227520,2.057777777777778,FALSE,CC,B,14,67.6,APC-CC1_D4,619,1.7140549273021002,1.0448234301280968,0.6692314971740034,0.009899874218550347
D,5,D5,434,APC-CC1-26,APC-CC1,26,4,1787234928,1787227520,2.057777777777778,FALSE,CC,B,13,54.482,APC-CC1_D5,275,1.5781818181818181,1.0448234301280968,0.5333583880537214,0.00978962571223012
A,2,A2,2414,APC-CC1-26,APC-CC1,26,5,1787236633,1787227520,2.531388888888889,FALSE,CC,A,4,26.815,APC-CC1_A2,1391,1.7354421279654924,1.05825828183566,0.6771838461298323,0.025253919303741646
A,3,A3,1271,APC-CC1-26,APC-CC1,26,5,1787236633,1787227520,2.531388888888889,FALSE,CC,A,3,57.513,APC-CC1_A3,642,1.9797507788161994,1.05825828183566,0.9214924969805394,0.016022334028489897
A,4,A4,2414,APC-CC1-26,APC-CC1,26,5,1787236633,1787227520,2.531388888888889,FALSE,CC,A,2,30.943,APC-CC1_A4,1416,1.7048022598870056,1.05825828183566,0.6465439780513456,0.020894676600567028
A,5,A5,1787,APC-CC1-26,APC-CC1,26,5,1787236633,1787227520,2.531388888888889,FALSE,CC,A,1,51.399,APC-CC1_A5,1104,1.618659420289855,1.05825828183566,0.5604011384541949,0.010902958004128386
B,2,B2,2455,APC-CC1-26,APC-CC1,26,5,1787236633,1787227520,2.531388888888889,FALSE,CC,A,8,40.552,APC-CC1_B2,1311,1.8726163234172388,1.05825828183566,0.8143580415815788,0.020081821897355957
B,3,B3,1302,APC-CC1-26,APC-CC1,26,5,1787236633,1787227520,2.531388888888889,FALSE,CC,A,6,102.812,APC-CC1_B3,697,1.8680057388809181,1.05825828183566,0.8097474570452581,0.007876001410781408
B,4,B4,1048,APC-CC1-26,APC-CC1,26,5,1787236633,1787227520,2.531388888888889,FALSE,CC,A,7,61.176,APC-CC1_B4,595,1.761344537815126,1.05825828183566,0.703086255979466,0.011492844513852915
B,5,B5,2288,APC-CC1-26,APC-CC1,26,5,1787236633,1787227520,2.531388888888889,FALSE,CC,A,5,107.249,APC-CC1_B5,1391,1.644859813084112,1.05825828183566,0.586601531248452,0.005469529144779457
C,2,C2,1246,APC-CC1-26,APC-CC1,26,5,1787236633,1787227520,2.531388888888889,FALSE,CC,B,12,69.315,APC-CC1_C2,723,1.723374827109267,1.05825828183566,0.665116545273607,0.009595564383951627
C,3,C3,906,APC-CC1-26,APC-CC1,26,5,1787236633,1787227520,2.531388888888889,FALSE,CC,B,11,37.353,APC-CC1_C3,520,1.7423076923076923,1.05825828183566,0.6840494104720323,0.0183131049841253
C,4,C4,681,APC-CC1-26,APC-CC1,26,5,1787236633,1787227520,2.531388888888889,FALSE,CC,A,9,20.508,APC-CC1_C4,389,1.750642673521851,1.05825828183566,0.6923843916861909,0.03376167308787746
C,5,C5,559,APC-CC1-26,APC-CC1,26,5,1787236633,1787227520,2.531388888888889,FALSE,CC,A,10,67.355,APC-CC1_C5,314,1.7802547770700636,1.05825828183566,0.7219964952344036,0.010719270955896422
D,2,D2,587,APC-CC1-26,APC-CC1,26,5,1787236633,1787227520,2.531388888888889,FALSE,CC,B,16,28.66,APC-CC1_D2,355,1.6535211267605634,1.05825828183566,0.5952628449249033,0.020769813151601653
D,3,D3,1404,APC-CC1-26,APC-CC1,26,5,1787236633,1787227520,2.531388888888889,FALSE,CC,B,15,66.839,APC-CC1_D3,734,1.9128065395095368,1.05825828183566,0.8545482576738768,0.012785174189827447
D,4,D4,1195,APC-CC1-26,APC-CC1,26,5,1787236633,1787227520,2.531388888888889,FALSE,CC,B,14,67.6,APC-CC1_D4,619,1.9305331179321485,1.05825828183566,0.8722748360964885,0.01290347390675279
D,5,D5,493,APC-CC1-26,APC-CC1,26,5,1787236633,1787227520,2.531388888888889,FALSE,CC,B,13,54.482,APC-CC1_D5,275,1.7927272727272727,1.05825828183566,0.7344689908916127,0.013480947668800937
A,2,A2,3119,APC-CC1-26,APC-CC1,26,6,1787238514,1787227520,3.053888888888889,FALSE,CC,A,4,26.815,APC-CC1_A2,1391,2.242271746944644,1.0699932141573674,1.1722785327872767,0.043717267678063644
A,3,A3,1415,APC-CC1-26,APC-CC1,26,6,1787238514,1787227520,3.053888888888889,FALSE,CC,A,3,57.513,APC-CC1_A3,642,2.20404984423676,1.0699932141573674,1.1340566300793926,0.019718265958642265
A,4,A4,2754,APC-CC1-26,APC-CC1,26,6,1787238514,1787227520,3.053888888888889,FALSE,CC,A,2,30.943,APC-CC1_A4,1416,1.944915254237288,1.0699932141573674,0.8749220400799207,0.02827528164948197
A,5,A5,2005,APC-CC1-26,APC-CC1,26,6,1787238514,1787227520,3.053888888888889,FALSE,CC,A,1,51.399,APC-CC1_A5,1104,1.8161231884057971,1.0699932141573674,0.7461299742484298,0.014516429779731702
B,2,B2,3222,APC-CC1-26,APC-CC1,26,6,1787238514,1787227520,3.053888888888889,FALSE,CC,A,8,40.552,APC-CC1_B2,1311,2.45766590389016,1.0699932141573674,1.3876726897327927,0.034219586943499525
B,3,B3,1459,APC-CC1-26,APC-CC1,26,6,1787238514,1787227520,3.053888888888889,FALSE,CC,A,6,102.812,APC-CC1_B3,697,2.0932568149210904,1.0699932141573674,1.023263600763723,0.009952764276190747
B,4,B4,1188,APC-CC1-26,APC-CC1,26,6,1787238514,1787227520,3.053888888888889,FALSE,CC,A,7,61.176,APC-CC1_B4,595,1.9966386554621849,1.0699932141573674,0.9266454413048175,0.015147205461370758
B,5,B5,2529,APC-CC1-26,APC-CC1,26,6,1787238514,1787227520,3.053888888888889,FALSE,CC,A,5,107.249,APC-CC1_B5,1391,1.818116462976276,1.0699932141573674,0.7481232488189087,0.006975573187805096
C,2,C2,1507,APC-CC1-26,APC-CC1,26,6,1787238514,1787227520,3.053888888888889,FALSE,CC,B,12,69.315,APC-CC1_C2,723,2.0843706777316737,1.0699932141573674,1.0143774635743064,0.014634313836461176
C,3,C3,1045,APC-CC1-26,APC-CC1,26,6,1787238514,1787227520,3.053888888888889,FALSE,CC,B,11,37.353,APC-CC1_C3,520,2.0096153846153846,1.0699932141573674,0.9396221704580172,0.02515519959462472
C,4,C4,860,APC-CC1-26,APC-CC1,26,6,1787238514,1787227520,3.053888888888889,FALSE,CC,A,9,20.508,APC-CC1_C4,389,2.210796915167095,1.0699932141573674,1.1408037010097278,0.055627252828638965
C,5,C5,634,APC-CC1-26,APC-CC1,26,6,1787238514,1787227520,3.053888888888889,FALSE,CC,A,10,67.355,APC-CC1_C5,314,2.0191082802547773,1.0699932141573674,0.9491150660974099,0.014091234000406946
D,2,D2,669,APC-CC1-26,APC-CC1,26,6,1787238514,1787227520,3.053888888888889,FALSE,CC,B,16,28.66,APC-CC1_D2,355,1.884507042253521,1.0699932141573674,0.8145138280961537,0.02841988234808631
D,3,D3,1593,APC-CC1-26,APC-CC1,26,6,1787238514,1787227520,3.053888888888889,FALSE,CC,B,15,66.839,APC-CC1_D3,734,2.170299727520436,1.0699932141573674,1.1003065133630685,0.01646204331846779
D,4,D4,2356,APC-CC1-26,APC-CC1,26,6,1787238514,1787227520,3.053888888888889,FALSE,CC,B,14,67.6,APC-CC1_D4,619,3.8061389337641356,1.0699932141573674,2.7361457196067684,0.04047552839654983
D,5,D5,524,APC-CC1-26,APC-CC1,26,6,1787238514,1787227520,3.053888888888889,FALSE,CC,B,13,54.482,APC-CC1_D5,275,1.9054545454545455,1.0699932141573674,0.8354613312971781,0.015334630360434238
A,2,A2,2990,APC-CC1-26,APC-CC1,26,7,1787240203,1787227520,3.5230555555555556,FALSE,CC,A,4,26.815,APC-CC1_A2,1391,2.149532710280374,1.0769681999722152,1.0725645103081587,0.03999867649853286
A,3,A3,1547,APC-CC1-26,APC-CC1,26,7,1787240203,1787227520,3.5230555555555556,FALSE,CC,A,3,57.513,APC-CC1_A3,642,2.4096573208722742,1.0769681999722152,1.332689120900059,0.023171963223967782
